YNL208W	YOR285W
YNL230C	YPL004C
YNL279W	YOL108C
YOL001W	YPL031C
YOL005C	YPL203W
YOL038W	YPR154W
YOL100W	YPL004C
YOL106W	YPR182W
YOR029W	YPR154W
YOR122C	YOR363C
YOR259C	YPR108W
YOR261C	YPR108W
YOR264W	YPR119W
YOR290C	YPL016W
YOR290C	YPL129W
YPL003W	YPR066W
YPL031C	YPL219W
YPL129W	YPL203W
YPL174C	YPR165W
YPL203W	YPR133C
YPR178W	YPR182W
